epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.282,1.52696,0.43185,1,1.50292,0.000236413,0.000236413,0.000236413
2,55.4308,1.06199,0.54519,1,1.39265,0.000458758,0.000458758,0.000458758
3,80.1699,0.87762,0.55093,1,1.36322,0.000665394,0.000665394,0.000665394
4,104.31,0.79071,0.57532,1,1.34495,0.000643314,0.000643314,0.000643314
5,128.099,0.70869,0.55811,1,1.34024,0.000619752,0.000619752,0.000619752
6,152.09,0.69772,0.63702,1,1.28382,0.00059619,0.00059619,0.00059619
7,175.937,0.62843,0.61693,1,1.28752,0.000572628,0.000572628,0.000572628
8,202.345,0.58911,0.57389,1,1.32148,0.000549066,0.000549066,0.000549066
9,228.439,0.55772,0.60832,1,1.30884,0.000525504,0.000525504,0.000525504
10,253.394,0.51837,0.60545,1,1.30063,0.000501942,0.000501942,0.000501942
11,279.017,0.51207,0.62841,1,1.27419,0.00047838,0.00047838,0.00047838
12,304.465,0.48398,0.5868,1,1.31812,0.000454818,0.000454818,0.000454818
13,329.899,0.44794,0.60402,1,1.28764,0.000431256,0.000431256,0.000431256
14,355.343,0.41602,0.64419,1,1.2564,0.000407694,0.000407694,0.000407694
15,380.841,0.43061,0.60115,1,1.29192,0.000384132,0.000384132,0.000384132
16,406.458,0.41811,0.62123,1,1.2772,0.00036057,0.00036057,0.00036057
17,432.101,0.38128,0.64993,1,1.26257,0.000337008,0.000337008,0.000337008
18,457.818,0.36519,0.61263,1,1.27795,0.000313446,0.000313446,0.000313446
19,483.439,0.37886,0.61693,1,1.28316,0.000289884,0.000289884,0.000289884
20,509.28,0.35943,0.65136,1,1.24888,0.000266322,0.000266322,0.000266322
21,536.375,0.36664,0.64849,1,1.25316,0.00024276,0.00024276,0.00024276
22,561.847,0.36455,0.63415,1,1.26937,0.000219198,0.000219198,0.000219198
23,587.254,0.32333,0.62984,1,1.26696,0.000195636,0.000195636,0.000195636
24,613.014,0.33646,0.62984,1,1.27099,0.000172074,0.000172074,0.000172074
25,638.651,0.30042,0.63128,1,1.26111,0.000148512,0.000148512,0.000148512
26,664.335,0.30118,0.60976,1,1.28335,0.00012495,0.00012495,0.00012495
27,689.816,0.31531,0.62123,1,1.27126,0.000101388,0.000101388,0.000101388
28,715.193,0.31874,0.63989,1,1.2609,7.7826e-05,7.7826e-05,7.7826e-05
29,740.734,0.29619,0.62841,1,1.26719,5.4264e-05,5.4264e-05,5.4264e-05
30,766.317,0.2977,0.61836,1,1.27716,3.0702e-05,3.0702e-05,3.0702e-05
